tx_count,unique_senders,unique_receivers,active_pairs,avg_tx_per_sec,max_tx_in_1sec,min_interarrival,std_interarrival,top_sender_share,same_pair_ratio,sender_entropy,sin_hour,cos_hour,rate_deviation,label,attack_type
33,9,1,9,0.55,1,1,1.184206,0.272727,0.272727,2.736668,-0.707107,-0.707107,7,0,"normal"
27,13,1,13,0.45,1,1,1.257522,0.222222,0.222222,3.383793,-0.707107,-0.707107,1,0,"normal"
3,3,1,3,0.05,1,12,5.5,0.333333,0.333333,1.584963,0.707107,-0.707107,-19,0,"normal"
30,10,1,10,0.5,1,1,1.114172,0.266667,0.266667,2.91108,-0.258819,-0.965926,-4,0,"normal"
4,4,1,4,0.066667,1,13,0.816497,0.25,0.25,2,-0.258819,-0.965926,-30,0,"normal"
6,6,1,6,0.1,1,6,3.03315,0.166667,0.166667,2.584963,0.866025,-0.5,-12,0,"normal"
10,7,1,7,0.166667,1,2,3.05505,0.2,0.2,2.721928,-0.5,0.866025,4,0,"normal"
37,10,1,10,0.616667,1,1,1.010363,0.162162,0.162162,3.128542,-1,0,22,0,"normal"
14,2,1,2,0.233333,1,1,7.19385,0.5,0.5,1,0.965926,0.258819,9,0,"normal"
9,4,1,4,0.15,1,1,6.442049,0.444444,0.444444,1.752715,0.965926,0.258819,4,0,"normal"
10,8,1,8,0.166667,1,2,2.806518,0.2,0.2,2.921928,0.5,0.866025,5,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,-0.258819,-0.965926,-7,1,"ddos"
7,2,1,2,0.116667,1,4,4.149967,0.571429,0.571429,0.985228,-0.707107,0.707107,-1,0,"normal"
24,13,1,13,0.4,1,1,1.214282,0.291667,0.291667,3.31803,-0.965926,-0.258819,6,0,"normal"
6,5,1,5,0.1,1,6,3.405877,0.333333,0.333333,2.251629,0.258819,-0.965926,-26,0,"normal"
25,15,1,15,0.416667,1,1,1.348224,0.32,0.32,3.443856,-0.5,-0.866025,-5,0,"normal"
36,9,1,9,0.6,1,1,0.983953,0.333333,0.333333,2.72969,-0.866025,-0.5,14,0,"normal"
7,5,1,5,0.116667,1,2,4.412734,0.428571,0.428571,2.128085,0.965926,0.258819,2,0,"normal"
28,14,1,14,0.466667,1,1,1.432524,0.214286,0.214286,3.512188,-1,0,13,0,"normal"
4,4,1,4,0.066667,1,10,2.867442,0.25,0.25,2,0.866025,-0.5,-14,0,"normal"
13,6,1,6,0.216667,1,1,5.468978,0.461538,0.461538,2.199688,1,0,5,0,"normal"
